The Ironed Pants,"Brady, Tom QB NE "
The Ironed Pants,"Jones-Drew, Maurice RB JAC "
The Ironed Pants,"Portis, Clinton RB WAS "
The Ironed Pants,"Burress, Plaxico WR NYG "
The Ironed Pants,"Chambers, Chris WR SD"
The Ironed Pants,"Welker, Wes WR NE "
The Ironed Pants,"Gonzalez, Tony TE KC"
The Ironed Pants,"Folk, Nick K DAL"
The Ironed Pants,Titans DST
The Ironed Pants,"Campbell, Jason QB WAS "
The Ironed Pants,"Garcia, Jeff QB TB "
The Ironed Pants,"Benson, Cedric RB CHI"
The Ironed Pants,"Jones, Julius RB SEA "
The Ironed Pants,"Jurevicius, Joe WR CLE "
The Ironed Pants,"Moss, Santana WR WAS"
The Ironed Pants,Bears DST
bakenhaze,"Brees, Drew QB NO "
bakenhaze,"Lynch, Marshawn RB BUF"
bakenhaze,"McGahee, Willis RB BAL "
bakenhaze,"Evans, Lee WR BUF "
bakenhaze,"Williams, Reggie WR JAC "
bakenhaze,"Henry, Chris WR CIN "
bakenhaze,"Clark, Dallas TE IND"
bakenhaze,"Dawson, Phil K CLE"
bakenhaze,Colts DST 
bakenhaze,"Brown, Chris RB HOU "
bakenhaze,"Evans, Heath RB NE"
bakenhaze,"Watson, Kenny RB CIN"
bakenhaze,"Boldin, Anquan WR ARI "
bakenhaze,"Ginn Jr., Ted WR MIA "
bakenhaze,"Washington, Nate WR PIT"
bakenhaze,"Heap, Todd TE BAL"
Beantown Bandits,"Favre, Brett QB NYJ "
Beantown Bandits,"Lewis, Jamal RB CLE "
Beantown Bandits,"White, LenDale RB TEN "
Beantown Bandits,"Edwards, Braylon WR CLE "
Beantown Bandits,"Wayne, Reggie WR IND"
Beantown Bandits,"Smith, Steve WR CAR "
Beantown Bandits,"Lee, Donald TE GB"
Beantown Bandits,"Wilkins, Jeff K STL"
Beantown Bandits,Chargers DST
Beantown Bandits,"Cutler, Jay QB DEN "
Beantown Bandits,"Henry, Travis RB DEN"
Beantown Bandits,"Taylor, Chester RB MIN"
Beantown Bandits,"Turner, Michael RB ATL "
Beantown Bandits,"Jackson, Vincent WR SD "
Beantown Bandits,Ravens DST 
ChiTown,"Romo, Tony QB DAL "
ChiTown,"Jacobs, Brandon RB NYG"
ChiTown,"Jones, Kevin RB CHI "
ChiTown,"Colston, Marques WR NO "
ChiTown,"Driver, Donald WR GB "
ChiTown,"Holmes, Santonio WR PIT"
ChiTown,"Davis, Vernon TE SF"
ChiTown,"Crosby, Mason K GB"
ChiTown,Jaguars DST 
ChiTown,"Garrard, David QB JAC"
ChiTown,"Dayne, Ron RB HOU"
ChiTown,"Droughns, Reuben RB NYG"
ChiTown,"Ward, Derrick RB NYG "
ChiTown,"Brown, Reggie WR PHI "
ChiTown,"Coles, Laveranues WR NYJ "
ChiTown,"Morris, Sammy RB NE "
Ballin Balla,"Hasselbeck, Matt QB SEA "
Ballin Balla,"Barber, Marion RB DAL "
Ballin Balla,"Taylor, Fred RB JAC"
Ballin Balla,"Engram, Bobby WR SEA "
Ballin Balla,"Jennings, Greg WR GB "
Ballin Balla,"Galloway, Joey WR TB "
Ballin Balla,"Winslow, Kellen TE CLE "
Ballin Balla,"Brown, Josh K STL"
Ballin Balla,Bills DST 
Ballin Balla,"Clemens, Kellen QB NYJ "
Ballin Balla,"Vick, Michael QB ATL "
Ballin Balla,"Dunn, Warrick RB TB "
Ballin Balla,"Williams, Carnell RB TB "
Ballin Balla,"Cotchery, Jerricho WR NYJ "
Ballin Balla,"Jackson, Darrell WR DEN "
Ballin Balla,Steelers DST 
McLovin,"Anderson, Derek QB CLE"
McLovin,"Addai, Joseph RB IND"
McLovin,"Grant, Ryan RB GB "
McLovin,"Berrian, Bernard WR MIN"
McLovin,"Mason, Derrick WR BAL "
McLovin,"Ward, Hines WR PIT"
McLovin,"Witten, Jason TE DAL"
McLovin,"Elam, Jason K ATL"
McLovin,Seahawks DST
McLovin,"Leinart, Matt QB ARI "
McLovin,"Young, Vince QB TEN "
McLovin,"Bush, Reggie RB NO "
McLovin,"Jackson, Brandon RB GB "
McLovin,"Johnson, Rudi RB CIN "
McLovin,"Curry, Ronald WR OAK "
McLovin,"Davis, Andre WR HOU"
moneyTALKS,"McNabb, Donovan QB PHI "
moneyTALKS,"Peterson, Adrian RB MIN"
moneyTALKS,"Tomlinson, LaDainian RB SD "
moneyTALKS,"Crayton, Patrick WR DAL"
moneyTALKS,"Johnson, Chad WR CIN "
moneyTALKS,"Holt, Torry WR STL"
moneyTALKS,"Miller, Heath TE PIT"
moneyTALKS,"Graham, Shayne K CIN"
moneyTALKS,Packers DST 
moneyTALKS,"Boller, Kyle QB BAL "
moneyTALKS,"Norwood, Jerious RB ATL"
moneyTALKS,"Young, Selvin RB DEN "
moneyTALKS,"Clayton, Mark WR BAL"
moneyTALKS,"Gaffney, Jabar WR NE"
moneyTALKS,"Hackett, D.J. WR CAR "
moneyTALKS,"Walker, Javon WR OAK "
New Jersey Zombies,"Kitna, Jon QB DET "
New Jersey Zombies,"Alexander, Shaun RB SEA"
New Jersey Zombies,"Peterson, Adrian RB CHI"
New Jersey Zombies,"Moss, Randy WR NE "
New Jersey Zombies,"White, Roddy WR ATL "
New Jersey Zombies,"Johnson, Calvin WR DET "
New Jersey Zombies,"Watson, Benjamin TE NE"
New Jersey Zombies,"Brown, Kris K HOU"
New Jersey Zombies,Buccaneers DST
New Jersey Zombies,"Manning, Eli QB NYG "
New Jersey Zombies,"Green, Ahman RB HOU "
New Jersey Zombies,"Morris, Maurice RB SEA "
New Jersey Zombies,"Smith, Kolby RB KC"
New Jersey Zombies,"Jones, James WR GB "
New Jersey Zombies,"Johnson, Eric TE NO"
New Jersey Zombies,"Brown, Ronnie RB MIA "
DAC,"Palmer, Carson QB CIN "
DAC,"Maroney, Laurence RB NE "
DAC,"Stecker, Aaron RB NO"
DAC,"Houshmandzadeh, T.J. WR CIN "
DAC,"Stallworth, Donte' WR CLE"
DAC,"Scheffler, Tony TE DEN"
DAC,"Daniels, Owen TE HOU "
DAC,"Bironas, Rob K TEN "
DAC,Giants DST
DAC,"Quinn, Brady QB CLE "
DAC,"Foster, DeShaun RB SF "
DAC,"Jackson, Fred RB BUF "
DAC,"Jordan, LaMont RB NE "
DAC,"Battle, Arnaz WR SF "
DAC,"Rice, Sidney WR MIN "
DAC,"Olsen, Greg TE CHI "
The Others,"Warner, Kurt QB ARI "
The Others,"Graham, Earnest RB TB "
The Others,"Parker, Willie RB PIT"
The Others,"Gonzalez, Anthony WR IND"
The Others,"McDonald, Shaun WR DET "
The Others,"Patten, David WR NO"
The Others,"Gates, Antonio TE SD "
The Others,"Hanson, Jason K DET "
The Others,Vikings DST 
The Others,"Bulger, Marc QB STL "
The Others,"Russell, JaMarcus QB OAK "
The Others,"Fargas, Justin RB OAK "
The Others,"Jones, Thomas RB NYJ "
The Others,"Harrison, Marvin WR IND "
The Others,"Stokley, Brandon WR DEN"
The Others,"Walter, Kevin WR HOU "
PussywillowCat,"Rivers, Philip QB SD "
PussywillowCat,"James, Edgerrin RB ARI"
PussywillowCat,"Westbrook, Brian RB PHI "
PussywillowCat,"Branch, Deion WR SEA "
PussywillowCat,"Owens, Terrell WR DAL "
PussywillowCat,"Curtis, Kevin WR PHI"
PussywillowCat,"Shockey, Jeremy TE NO "
PussywillowCat,"Gould, Robbie K CHI"
PussywillowCat,Patriots DST 
PussywillowCat,"Roethlisberger, Ben QB PIT"
PussywillowCat,"Buckhalter, Correll RB PHI"
PussywillowCat,"Chatman, Jesse RB NYJ"
PussywillowCat,"Toomer, Amani WR NYG "
PussywillowCat,"Bowe, Dwayne WR KC "
PussywillowCat,"Stover, Matt K BAL"
PussywillowCat,Panthers DST
Diamonds and Pearls,"Manning, Peyton QB IND "
Diamonds and Pearls,"Gore, Frank RB SF "
Diamonds and Pearls,"Jackson, Steven RB STL "
Diamonds and Pearls,"Johnson, Andre WR HOU "
Diamonds and Pearls,"Marshall, Brandon WR DEN "
Diamonds and Pearls,"Fitzgerald, Larry WR ARI"
Diamonds and Pearls,"Cooley, Chris TE WAS"
Diamonds and Pearls,"Gostkowski, Stephen K NE"
Diamonds and Pearls,Cowboys DST 
Diamonds and Pearls,"Bledsoe, Drew QB DAL"
Diamonds and Pearls,"Henry, Chris RB TEN"
Diamonds and Pearls,"Johnson, Larry RB KC "
Diamonds and Pearls,"Clayton, Michael WR TB"
Diamonds and Pearls,"Williams, Roy WR DET"
